"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 17 12:20:50 IST 2023","Tue Oct 17 12:20:56 IST 2023","6117","","Blog","","","","Get list of allRecent post& assert the length of each list >1 & assert the total",""
"passed","Tue Oct 17 14:29:31 IST 2023","Tue Oct 17 14:29:32 IST 2023","968","","Home","","","","""before each"" hook for Home",""
"passed","Wed Oct 18 11:00:59 IST 2023","Wed Oct 18 11:01:09 IST 2023","10053","","Contact","","","","Fill all the input fields,submit from and assert success message",""
"passed","Tue Oct 17 14:29:31 IST 2023","Tue Oct 17 14:29:32 IST 2023","1386","","Home","","","","finding heading element & assert test",""
"passed","Tue Oct 17 14:50:39 IST 2023","Tue Oct 17 14:50:49 IST 2023","9632","","Contact","","","","Fill all the input fields,submit from and assert success message",""
"passed","Tue Oct 17 14:29:21 IST 2023","Tue Oct 17 14:29:23 IST 2023","1745","","Navigation Menu","","","","Get the Text of all menu & assert them - using wait commands",""
"passed","Tue Oct 17 14:29:28 IST 2023","Tue Oct 17 14:29:31 IST 2023","2732","","Home","","","","click logo & contains get-started text",""
"passed","Tue Oct 17 14:29:32 IST 2023","Tue Oct 17 14:29:32 IST 2023","0","","Home","","","","""after each"" hook for Home",""
"passed","Tue Oct 17 14:29:20 IST 2023","Tue Oct 17 14:29:26 IST 2023","5879","","Home","","","","Open About Page & assert url",""
"passed","Tue Oct 17 14:29:26 IST 2023","Tue Oct 17 14:29:28 IST 2023","2295","","Home","","","","click get started button & contains get-started text",""
"passed","Tue Oct 17 14:29:10 IST 2023","Tue Oct 17 14:29:10 IST 2023","6","","Home","","","","""before all"" hook for Home",""
"passed","Tue Oct 17 14:29:32 IST 2023","Tue Oct 17 14:29:32 IST 2023","1","","Home","","","","""after all"" hook for Home",""
"passed","Tue Oct 17 14:29:10 IST 2023","Tue Oct 17 14:29:21 IST 2023","11388","","Navigation Menu","","","","Get the Text og all menu & assert them",""
"passed","Tue Oct 17 14:29:10 IST 2023","Tue Oct 17 14:29:20 IST 2023","10252","","Home","","","","Open url & assert title",""
